 -0.055050712, -0.29136547, -0.15984218;
 -0.10677246, -0.20034924, 0.063904092;
 -0.010134609, 0.038373481, -0.019623989;
 -0.016171733, -0.11227223, 0.23362893;
 -0.0040306034, 0.004782802, -0.018922972;
 0.011457782, -0.017712738, 0.075471088;
 -0.0026703561, 0.003981743, -0.012533374;
 -0.053490456, -0.14152396, 0.12329315;
 -0.007989157, -0.0023267525, -0.043691773;
 0.068234026, -0.038279708, 0.30009651;
 -0.0093322983, 0.087768979, 0.018015539;
 -0.0095640412, 0.06037432, -0.0012717097;
 -0.023343606, -0.10620388, 0.10073466;
 -0.041986171, -0.158282, -0.0048476709;
 0.041881889, -0.036728762, 0.23410019;
 0.018510617, -0.043834325, 0.16361438;
 0.065715648, -0.020633142, 0.27148953;
 0.018394839, 0.009025841, 0.087386213;
 -0.17598622, -0.19458722, 0.28513342;
 -0.18233542, -0.19407903, 0.23287363;
 -0.010240847, -0.083423942, 0.028120799;
 -0.037691761, -0.12830314, 0.2132476;
 -0.0064980919, -0.045683086, -0.066358157;
 -0.040698595, -0.15749998, -0.0085043171;
 -0.059091698, -0.14351206, 0.17186858;
 -0.010500367, -0.13007298, -0.10674004;
 -0.034184817, -0.12001003, 0.1360075;
 -0.036973186, -0.13100289, 0.23501354;
 -0.22460823, -0.19998626, 0.20641735;
 -0.077239938, -0.19277395, 0.02606211;
 0.030442458, -0.076435767, 0.27655736;
 0.049860377, 0.023312243, 0.18416563;
 -0.0067095654, -0.072665818, 0.027162476;
 -0.01672253, -0.097288094, 0.13097207;
 0.046045706, -0.037633087, 0.24677886;
 0.018560715, -0.055876549, 0.19238713;
 0.069787413, 0.065351866, 0.20682947;
 -0.015986372, -0.16078442, 0.37160304;
 0.021082044, -0.047823522, 0.18403067;
 0.015509488, -0.02968199, 0.11787829;
 0.00015187368, 0.072218783, 0.031980999;
 -0.027030975, -0.11212351, 0.156215;
 -0.18630099, -0.19768046, 0.20239237;
 0.026993759, 0.0018775676, 0.1287829;
 0.020415017, -0.026657868, 0.13790615;
 -0.12720409, -0.19186676, 0.13440202
